model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,default,temporal,mae,,0.7874093163574578,943,20000,20260903,20260904T070002,1788485448
mf,default,temporal,precision_at_k,5.0,0.0456953642384106,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,recall_at_k,5.0,0.02170882271992905,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,coverage,5.0,0.12444444444444444,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,mean_popularity,5.0,149.68388520971303,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,popularity_percentile,5.0,0.8218803907873811,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,gini,5.0,0.9743105224429728,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,precision_at_k,10.0,0.042163355408388524,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,recall_at_k,10.0,0.037805462198811896,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,coverage,10.0,0.1726984126984127,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,mean_popularity,10.0,142.54867549668873,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,popularity_percentile,10.0,0.8219388742563344,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,gini,10.0,0.9633060723921651,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,precision_at_k,20.0,0.03647902869757175,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,recall_at_k,20.0,0.06529287095122215,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,coverage,20.0,0.23365079365079366,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,mean_popularity,20.0,131.80435982339955,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,popularity_percentile,20.0,0.8101845034234568,906,0,20260903,20260904T070002,1788485448
mf,default,temporal,gini,20.0,0.9473532359227723,906,0,20260903,20260904T070002,1788485448
global_mean,default,random,rmse,,1.1263815837649769,940,20000,20260903,20260904T070002,1788485448
global_mean,default,random,mae,,0.9451687585714286,940,20000,20260903,20260904T070002,1788485448
global_mean,default,random,precision_at_k,5.0,0.03354978354978355,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,recall_at_k,5.0,0.011297362309957057,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,coverage,5.0,0.011022657685241886,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,mean_popularity,5.0,117.0634199134199,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,popularity_percentile,5.0,0.8162065773279009,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,gini,5.0,0.9963917894720099,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,precision_at_k,10.0,0.03798701298701298,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,recall_at_k,10.0,0.027213574735925915,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,coverage,10.0,0.017758726270667484,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,mean_popularity,10.0,129.5939393939394,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,popularity_percentile,10.0,0.8363862495755878,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,gini,10.0,0.9928413696937886,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,precision_at_k,20.0,0.030735930735930738,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,recall_at_k,20.0,0.046580668552334344,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,coverage,20.0,0.031230863441518677,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,mean_popularity,20.0,110.66406926406927,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,popularity_percentile,20.0,0.7975760427276971,924,0,20260903,20260904T070002,1788485448
global_mean,default,random,gini,20.0,0.9861992773505327,924,0,20260903,20260904T070002,1788485448
user_mean,default,random,rmse,,1.041638456911506,940,20000,20260903,20260904T070002,1788485449
user_mean,default,random,mae,,0.8394112586584761,940,20000,20260903,20260904T070002,1788485449
user_mean,default,random,precision_at_k,5.0,0.03354978354978355,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,recall_at_k,5.0,0.011297362309957057,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,coverage,5.0,0.011022657685241886,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,mean_popularity,5.0,117.0634199134199,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,popularity_percentile,5.0,0.8162065773279009,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,gini,5.0,0.9963917894720099,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,precision_at_k,10.0,0.03798701298701298,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,recall_at_k,10.0,0.027213574735925915,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,coverage,10.0,0.017758726270667484,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,mean_popularity,10.0,129.5939393939394,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,popularity_percentile,10.0,0.8363862495755878,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,gini,10.0,0.9928413696937886,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,precision_at_k,20.0,0.030735930735930738,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,recall_at_k,20.0,0.046580668552334344,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,coverage,20.0,0.031230863441518677,924,0,20260903,20260904T070002,1788485449
